id,title,text_content,category,year,venue,authors,word_count
a011,稀疏混合专家模型的训练与实践,大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证 以 ChatGLM 为代表的技术路线被广泛采用。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。,大语言模型,2024,学术综述,字节跳动,228
a012,稀疏混合专家模型的训练与实践,自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及 以 Llama 为代表的技术路线被广泛采用。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。,大语言模型,2020,NeurIPS,月之暗面,226
a013,大模型长上下文建模的进展与挑战,GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性 以 ChatGLM 为代表的技术路线被广泛采用。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。,大语言模型,2024,学术综述,商汤研究院,219
a014,大模型长上下文建模的进展与挑战,强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量 以 Llama 为代表的技术路线被广泛采用。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。,大语言模型,2020,NeurIPS,中国科学院,199
a015,大模型长上下文建模的进展与挑战,稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力 以 Transformer 为代表的技术路线被广泛采用。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。,大语言模型,2021,ICML,OpenAI,224
a016,开源大语言模型的生态与现状,大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证 以 Llama 为代表的技术路线被广泛采用。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。,大语言模型,2020,NeurIPS,Google DeepMind,226
a017,开源大语言模型的生态与现状,自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及 以 Transformer 为代表的技术路线被广泛采用。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。,大语言模型,2021,ICML,Meta AI,232
a018,开源大语言模型的生态与现状,GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性 以 GPT-4 为代表的技术路线被广泛采用。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。,大语言模型,2022,ACL,百度,217
a019,多模态大模型的统一表示学习,多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础 以 CLIP 为代表的技术路线被广泛采用。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。,多模态,2020,CVPR,阿里达摩院,173
a020,多模态大模型的统一表示学习,CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题 以 GPT-4 为代表的技术路线被广泛采用。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。,多模态,2021,NeurIPS,腾讯 AI Lab,164
a021,多模态大模型的统一表示学习,GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接 以 Gemini 为代表的技术路线被广泛采用。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。,多模态,2022,ICLR,智谱 AI,166
a022,图文跨模态检索的 CLIP 范式,原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据 以 GPT-4 为代表的技术路线被广泛采用。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。,多模态,2021,NeurIPS,清华大学,163
a023,图文跨模态检索的 CLIP 范式,多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式 以 Gemini 为代表的技术路线被广泛采用。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。,多模态,2022,ICLR,MIT,173
a024,图文跨模态检索的 CLIP 范式,多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础 以 对比学习 为代表的技术路线被广泛采用。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。,多模态,2023,技术博客,斯坦福大学,173
a025,原生多模态架构的设计与训练,CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题 以 Gemini 为代表的技术路线被广泛采用。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。,多模态,2022,ICLR,Anthropic,165
a026,原生多模态架构的设计与训练,GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接 以 对比学习 为代表的技术路线被广泛采用。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。,多模态,2023,技术博客,字节跳动,164
a027,原生多模态架构的设计与训练,原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据 以 跨模态检索 为代表的技术路线被广泛采用。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。,多模态,2024,行业白皮书,月之暗面,163
a028,视觉语言模型在内容理解中的应用,多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式 以 对比学习 为代表的技术路线被广泛采用。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。,多模态,2023,技术博客,商汤研究院,171
a029,视觉语言模型在内容理解中的应用,多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础 以 跨模态检索 为代表的技术路线被广泛采用。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。,多模态,2024,行业白皮书,中国科学院,174
a030,视觉语言模型在内容理解中的应用,CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题 以 CLIP 为代表的技术路线被广泛采用。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。,多模态,2020,CVPR,OpenAI,163
a031,多模态对齐与融合策略综述,GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接 以 跨模态检索 为代表的技术路线被广泛采用。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。,多模态,2024,行业白皮书,Google DeepMind,165
a032,多模态对齐与融合策略综述,原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据 以 CLIP 为代表的技术路线被广泛采用。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。,多模态,2020,CVPR,Meta AI,162
a033,多模态对齐与融合策略综述,多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式 以 GPT-4 为代表的技术路线被广泛采用。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。,多模态,2021,NeurIPS,百度,172
a034,面向视频理解的多模态预训练,多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础 以 CLIP 为代表的技术路线被广泛采用。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。,多模态,2020,CVPR,阿里达摩院,173
a035,面向视频理解的多模态预训练,CLIP 通过对比学习将图像与文本映射到同一表示空间，奠定了跨模态检索的基础。GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题 以 GPT-4 为代表的技术路线被广泛采用。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。,多模态,2021,NeurIPS,腾讯 AI Lab,164
a036,面向视频理解的多模态预训练,GPT-4 与 Gemini 能够同时理解图像与文本，回答关于图片内容的复杂问题。原生多模态架构从设计之初即联合多种模态训练，优于简单的模态拼接 以 Gemini 为代表的技术路线被广泛采用。多模态对齐的关键在于设计有效的跨模态损失与高质量的对齐数据。多模态大模型统一处理文本、图像、音频、视频等多种模态，更接近人类感知世界的方式。,多模态,2022,ICLR,智谱 AI,166
a037,潜在扩散模型与高质量图像生成,扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销 以 扩散模型 为代表的技术路线被广泛采用。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。,扩散模型,2020,CVPR,清华大学,192
a038,潜在扩散模型与高质量图像生成,潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程 以 Stable Diffusion 为代表的技术路线被广泛采用。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。,扩散模型,2021,NeurIPS,MIT,214
a039,潜在扩散模型与高质量图像生成,Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数 以 Latent Diffusion 为代表的技术路线被广泛采用。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。,扩散模型,2022,ICML,斯坦福大学,200
a040,文生图扩散模型的工程优化,采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频 以 Stable Diffusion 为代表的技术路线被广泛采用。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。,扩散模型,2021,NeurIPS,Anthropic,195
a041,文生图扩散模型的工程优化,OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定 以 Latent Diffusion 为代表的技术路线被广泛采用。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。,扩散模型,2022,ICML,字节跳动,216
a042,文生图扩散模型的工程优化,扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销 以 DDIM 为代表的技术路线被广泛采用。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。,扩散模型,2023,技术博客,月之暗面,192
a043,扩散模型采样加速方法综述,潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程 以 Latent Diffusion 为代表的技术路线被广泛采用。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。,扩散模型,2022,ICML,商汤研究院,214
a044,扩散模型采样加速方法综述,Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数 以 DDIM 为代表的技术路线被广泛采用。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。,扩散模型,2023,技术博客,中国科学院,188
a045,扩散模型采样加速方法综述,采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频 以 Sora 为代表的技术路线被广泛采用。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。,扩散模型,2024,学术综述,OpenAI,183
a046,视频生成的扩散架构探索,OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定 以 DDIM 为代表的技术路线被广泛采用。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。,扩散模型,2023,技术博客,Google DeepMind,204
a047,视频生成的扩散架构探索,扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销 以 Sora 为代表的技术路线被广泛采用。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。,扩散模型,2024,学术综述,Meta AI,192
a048,视频生成的扩散架构探索,潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程 以 Midjourney 为代表的技术路线被广泛采用。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。,扩散模型,2020,CVPR,百度,208
a049,条件扩散模型的可控生成,Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数 以 Sora 为代表的技术路线被广泛采用。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。,扩散模型,2024,学术综述,阿里达摩院,188
a050,条件扩散模型的可控生成,采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频 以 Midjourney 为代表的技术路线被广泛采用。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。,扩散模型,2020,CVPR,腾讯 AI Lab,189
a051,条件扩散模型的可控生成,OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定 以 扩散模型 为代表的技术路线被广泛采用。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。,扩散模型,2021,NeurIPS,智谱 AI,204
a052,扩散模型的理论基础与去噪过程,扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销 以 Midjourney 为代表的技术路线被广泛采用。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。,扩散模型,2020,CVPR,清华大学,198
a053,扩散模型的理论基础与去噪过程,潜在扩散模型（Latent Diffusion）将扩散过程迁移到低维潜在空间，大幅降低了计算开销。Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程 以 扩散模型 为代表的技术路线被广泛采用。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。,扩散模型,2021,NeurIPS,MIT,202
a054,扩散模型的理论基础与去噪过程,Stable Diffusion 与 Midjourney 让高质量文生图走向普通用户，重塑了内容创作流程。采样加速技术如 DDIM、一致性模型显著减少了生成所需的迭代步数 以 Stable Diffusion 为代表的技术路线被广泛采用。OpenAI 的 Sora 将扩散思想扩展到视频生成，能根据文本生成长达一分钟的高清视频。扩散模型通过前向加噪与反向去噪过程学习数据分布，生成质量高且训练稳定。,扩散模型,2022,ICML,斯坦福大学,200
a055,大模型驱动的智能体框架综述,智能体（Agent）以大模型为大脑，结合工具调用、记忆与规划能力，自主完成多步骤的复杂任务。相比单轮问答，Agent 能够分解任务、调用外部工具并根据反馈调整策略，是 AIGC 应用的更高形态 以 Agent 为代表的技术路线被广泛采用。多智能体协作系统通过角色分工与通信，在软件开发、科学研究等场景展现出潜力。记忆机制让 Agent 能跨越会话保持上下文，规划机制则支持长程任务的分解与调度。,智能体,2020,NeurIPS,Anthropic,197
a056,大模型驱动的智能体框架综述,相比单轮问答，Agent 能够分解任务、调用外部工具并根据反馈调整策略，是 AIGC 应用的更高形态。多智能体协作系统通过角色分工与通信，在软件开发、科学研究等场景展现出潜力 以 AutoGPT 为代表的技术路线被广泛采用。记忆机制让 Agent 能跨越会话保持上下文，规划机制则支持长程任务的分解与调度。从 AutoGPT 到各类 Agent 框架，AI 正从回答问题走向解决问题。,智能体,2021,ICML,字节跳动,192
a057,大模型驱动的智能体框架综述,多智能体协作系统通过角色分工与通信，在软件开发、科学研究等场景展现出潜力。记忆机制让 Agent 能跨越会话保持上下文，规划机制则支持长程任务的分解与调度 以 工具调用 为代表的技术路线被广泛采用。从 AutoGPT 到各类 Agent 框架，AI 正从回答问题走向解决问题。智能体（Agent）以大模型为大脑，结合工具调用、记忆与规划能力，自主完成多步骤的复杂任务。,智能体,2022,技术博客,月之暗面,184
a058,基于工具调用的任务型 Agent,记忆机制让 Agent 能跨越会话保持上下文，规划机制则支持长程任务的分解与调度。从 AutoGPT 到各类 Agent 框架，AI 正从回答问题走向解决问题 以 AutoGPT 为代表的技术路线被广泛采用。智能体（Agent）以大模型为大脑，结合工具调用、记忆与规划能力，自主完成多步骤的复杂任务。相比单轮问答，Agent 能够分解任务、调用外部工具并根据反馈调整策略，是 AIGC 应用的更高形态。,智能体,2021,ICML,商汤研究院,201
a059,基于工具调用的任务型 Agent,从 AutoGPT 到各类 Agent 框架，AI 正从回答问题走向解决问题。智能体（Agent）以大模型为大脑，结合工具调用、记忆与规划能力，自主完成多步骤的复杂任务 以 工具调用 为代表的技术路线被广泛采用。相比单轮问答，Agent 能够分解任务、调用外部工具并根据反馈调整策略，是 AIGC 应用的更高形态。多智能体协作系统通过角色分工与通信，在软件开发、科学研究等场景展现出潜力。,智能体,2022,技术博客,中国科学院,194
